dataset,part,budget,usage,source tokens,source documents,source length,sample tokens,sample documents,sample length,token reduction,document reduction
hplt-3.0,als_Latn,20580000000,1.616,10529092443,11184735,941.4,12735057119,11553014,1102.3,1.210,1.033
hplt-3.0,bos_Latn,14620000000,0.515,27695837667,37078307,747.0,28369365455,33146029,855.9,1.024,0.894
hplt-3.0,bul_Cyrl,19250000000,0.437,42713367493,42967942,994.1,44047770549,34365250,1281.8,1.031,0.800
hplt-3.0,cat_Latn,17250000000,0.809,21035306449,26411847,796.4,21332937789,23215502,918.9,1.014,0.879
hplt-3.0,ces_Latn,21640000000,0.297,93521314847,107802248,867.5,72797502627,63615972,1144.3,0.778,0.590
hplt-3.0,dan_Latn,15190000000,0.399,55465847872,52498797,1056.5,38057695126,27139565,1402.3,0.686,0.517
hplt-3.0,deu_Latn,53000000000,0.129,548693366012,645363459,850.2,409771437417,417832212,980.7,0.747,0.647
hplt-3.0,ekk_Latn,14410000000,0.900,17670864848,13735919,1286.5,16008787170,10232495,1564.5,0.906,0.745
hplt-3.0,ell_Grek,31380000000,0.276,103562684310,87390814,1185.1,113760793799,77834075,1461.6,1.098,0.891
hplt-3.0,eus_Latn,11760000000,4.645,2537717669,3219485,788.2,2531857029,2659566,952.0,0.998,0.826
hplt-3.0,fin_Latn,17700000000,0.331,63971845965,49558089,1290.8,53435542482,35624608,1500.0,0.835,0.719
hplt-3.0,fra_Latn,69950000000,0.144,625713569595,603878673,1036.2,485436904488,387716721,1252.0,0.776,0.642
hplt-3.0,gle_Latn,12080000000,22.393,827777248,786690,1052.2,539450394,394625,1367.0,0.652,0.502
hplt-3.0,glg_Latn,12320000000,4.404,2993652432,4033272,742.2,2797336331,3328131,840.5,0.934,0.825
hplt-3.0,hrv_Latn,16260000000,0.570,30263415562,31156692,971.3,28502966404,24452711,1165.6,0.942,0.785
hplt-3.0,hun_Latn,23950000000,0.279,90780586862,75122917,1208.4,85733620427,57726169,1485.2,0.944,0.768
hplt-3.0,isl_Latn,11160000000,3.063,4816712669,4295927,1121.2,3643321416,3154128,1155.1,0.756,0.734
hplt-3.0,ita_Latn,50540000000,0.191,297646358391,362985922,820.0,264842325275,280981402,942.6,0.890,0.774
hplt-3.0,lit_Latn,14970000000,0.709,22728917285,20406756,1113.8,21105335957,14029894,1504.3,0.929,0.688
hplt-3.0,lvs_Latn,20260000000,1.106,18704139033,11323409,1651.8,18323269599,8430729,2173.4,0.980,0.745
hplt-3.0,mkd_Cyrl,14020000000,3.223,4808723524,6791451,708.1,4350041346,5578236,779.8,0.905,0.821
hplt-3.0,mlt_Latn,14910000000,13.147,752134448,752735,999.2,1134067866,1029398,1101.7,1.508,1.368
hplt-3.0,nld_Latn,29710000000,0.229,168278087959,200688712,838.5,129521422503,121001135,1070.4,0.770,0.603
hplt-3.0,nno_Latn,9970000000,7.716,1420558546,1509659,941.0,1292178186,1139383,1134.1,0.910,0.755
hplt-3.0,nob_Latn,13700000000,0.461,44588677570,36487123,1222.0,29743379268,21943973,1355.4,0.667,0.601
hplt-3.0,pol_Latn,32590000000,0.197,221631136292,255893058,866.1,165110491980,156131090,1057.5,0.745,0.610
hplt-3.0,por_Latn,56650000000,0.177,327821314241,342527772,957.1,319697678788,284285413,1124.6,0.975,0.830
hplt-3.0,ron_Latn,24410000000,0.249,98113338882,95911906,1023.0,98041896419,79664158,1230.7,0.999,0.831
hplt-3.0,slk_Latn,16370000000,0.684,33059373007,36370822,909.0,23950114939,20513369,1167.5,0.724,0.564
hplt-3.0,slv_Latn,14860000000,0.944,17563684478,16812095,1044.7,15734669648,11760701,1337.9,0.896,0.700
hplt-3.0,spa_Latn,101920000000,0.172,692156868974,725580145,953.9,591532340403,548670453,1078.1,0.855,0.756
hplt-3.0,srp_Cyrl,16670000000,1.711,9022705657,7081710,1274.1,9742673197,6686853,1457.0,1.080,0.944
hplt-3.0,swe_Latn,20570000000,0.281,101847772616,97717372,1042.3,73208277071,59190246,1236.8,0.719,0.606
hplt-3.0,tur_Latn,27630000000,0.235,149012480113,159466598,934.4,117729321618,113976998,1032.9,0.790,0.715
hplt-3.0,ukr_Cyrl,22340000000,0.274,75602173611,80026949,944.7,81675297131,71192698,1147.2,1.080,0.890
