dataset,part,budget,usage,source tokens,source documents,source length,sample tokens,sample documents,sample length,token reduction,document reduction
agenttrove-0.0,data,53921856000,2.667,20220696106,1568412,12892.5,,,,,
common-pile-stackv2-0.1,documents,1854806941000,0.653,2928642538533,218364133,13411.7,2839037251355,212703947,13347.4,0.969,0.974
common-pile-stackv2-edu-0.1,documents,106746916000,1.333,80134962542,67793087,1182.1,80060187066,67741990,1181.8,0.999,0.999
dclm-1.0,,904983857001,0.233,3884321346581,2939202307,1321.6,,,,,
dochplt-3.1,bos_Latn-eng_Latn,816700000,0.560,1458416629,1514533,962.9,,,,,
dochplt-3.1,bul_Cyrl-eng_Latn,173000000,0.024,7207524299,5358722,1345.0,,,,,
dochplt-3.1,cat_Latn-eng_Latn,177800000,0.050,3556820287,4360574,815.7,,,,,
dochplt-3.1,ces_Latn-eng_Latn,228300000,0.077,2977354007,2952715,1008.3,,,,,
dochplt-3.1,dan_Latn-eng_Latn,250300000,0.067,3754764061,3761938,998.1,,,,,
dochplt-3.1,ell_Grek-eng_Latn,95500000,0.026,3673046234,2952707,1244.0,,,,,
dochplt-3.1,eng_Latn-est_Latn,569200000,0.173,3283654344,2059801,1594.2,,,,,
dochplt-3.1,eng_Latn-eus_Latn,303800000,0.667,455642683,447604,1018.0,,,,,
dochplt-3.1,eng_Latn-fin_Latn,887700000,0.297,2992086059,2739032,1092.4,,,,,
dochplt-3.1,eng_Latn-gle_Latn,54900000,0.057,958343806,599788,1597.8,,,,,
dochplt-3.1,eng_Latn-glg_Latn,220900000,0.333,662806290,707166,937.3,,,,,
dochplt-3.1,eng_Latn-hrv_Latn,1006500000,0.163,6162180063,5287964,1165.3,,,,,
dochplt-3.1,eng_Latn-hun_Latn,1032600000,0.400,2581421257,2134387,1209.4,,,,,
dochplt-3.1,eng_Latn-isl_Latn,308700000,0.200,1543380191,1357330,1137.1,,,,,
dochplt-3.1,eng_Latn-lav_Latn,1228400000,0.193,6353836051,2893702,2195.7,,,,,
dochplt-3.1,eng_Latn-lit_Latn,1014100001,0.200,5070694065,3202645,1583.3,,,,,
dochplt-3.1,eng_Latn-mkd_Cyrl,253300000,0.267,950047767,737649,1287.9,,,,,
dochplt-3.1,eng_Latn-mlt_Latn,76200000,0.067,1142415407,298366,3828.9,,,,,
dochplt-3.1,eng_Latn-nno_Latn,29900000,0.833,35912599,62707,572.7,,,,,
dochplt-3.1,eng_Latn-nob_Latn,885200000,0.143,6204850069,6157104,1007.8,,,,,
dochplt-3.1,eng_Latn-ron_Latn,576400000,0.211,2727485036,2513001,1085.3,,,,,
dochplt-3.1,eng_Latn-slk_Latn,1009200000,0.145,6944119403,5750603,1207.5,,,,,
dochplt-3.1,eng_Latn-slv_Latn,673000000,0.175,3853250158,2243604,1717.4,,,,,
dochplt-3.1,eng_Latn-sqi_Latn,324700000,0.213,1522153554,983718,1547.3,,,,,
dochplt-3.1,eng_Latn-srp_Cyrl,1543100000,0.883,1746859816,1113017,1569.5,,,,,
dochplt-3.1,eng_Latn-tur_Latn,1051000000,0.467,2252040524,2375135,948.2,,,,,
dochplt-3.1,eng_Latn-ukr_Cyrl,54700000,1.999,27365473,68987,396.7,,,,,
dolmino-mix-100b-1125,ingredient2-cranecode,17065124000,1.334,12788409020,10434183,1225.6,,,,,
dolmino-mix-100b-1125,ingredient2-cranemath,16658123000,2.669,6240244040,6552245,952.4,,,,,
dolmino-mix-100b-1125,ingredient2-dolmino-math,31555312000,2.671,11812289415,20952603,563.8,,,,,
dolmino-mix-100b-1125,ingredient2-megamatt,5109902000,2.671,1913194136,3019047,633.7,,,,,
dolmino-mix-100b-1125,ingredient2-omr-rewrite-fullthoughts,2445816000,2.668,916890151,290738,3153.7,,,,,
dolmino-mix-100b-1125,ingredient2-program_verifiable,479284000,2.669,179592759,138559,1296.1,,,,,
dolmino-mix-100b-1125,ingredient2-stack_edu-fim,26742601000,2.002,13356343998,14956482,893.0,,,,,
dolmino-mix-100b-1125,ingredient2-tinymath-mind,3566022000,2.671,1335116643,2141512,623.4,,,,,
finemath-0.0.0,finemath-3plus,104990470000,2.667,39371426362,21405610,1839.3,,,,,
fineopus-filtered-0.4,eng_Latn-als_Latn,566700000,0.167,3398425405,68592964,49.5,,,,,
fineopus-filtered-0.4,eng_Latn-bul_Cyrl,5000000,2.690,1858873,96507,19.3,,,,,
fineopus-filtered-0.4,eng_Latn-cat_Latn,15200000,2.661,5712629,425624,13.4,,,,,
fineopus-filtered-0.4,eng_Latn-ces_Latn,18300000,2.669,6855841,524474,13.1,,,,,
fineopus-filtered-0.4,eng_Latn-dan_Latn,40200000,0.667,60307753,2236116,27.0,,,,,
fineopus-filtered-0.4,eng_Latn-deu_Latn,618700000,2.661,232472718,4233525,54.9,,,,,
fineopus-filtered-0.4,eng_Latn-ekk_Latn,426700001,0.161,2650981506,57729950,45.9,,,,,
fineopus-filtered-0.4,eng_Latn-ell_Grek,8700000,2.660,3271187,134635,24.3,,,,,
fineopus-filtered-0.4,eng_Latn-est_Latn,32600000,0.161,202757638,8739800,23.2,,,,,
fineopus-filtered-0.4,eng_Latn-eus_Latn,191300001,0.666,287089897,9999104,28.7,,,,,
fineopus-filtered-0.4,eng_Latn-fin_Latn,910700000,0.133,6831536686,168147457,40.6,,,,,
fineopus-filtered-0.4,eng_Latn-fra_Latn,14551500001,0.336,43329820372,790084931,54.8,,,,,
fineopus-filtered-0.4,eng_Latn-gle_Latn,45500000,0.047,974783726,23919291,40.8,,,,,
fineopus-filtered-0.4,eng_Latn-glg_Latn,193200000,0.400,482889265,14705303,32.8,,,,,
fineopus-filtered-0.4,eng_Latn-hrv_Latn,714000000,0.200,3573555303,93759873,38.1,,,,,
fineopus-filtered-0.4,eng_Latn-hun_Latn,968800000,0.187,5194560454,136459945,38.1,,,,,
fineopus-filtered-0.4,eng_Latn-isl_Latn,294300000,0.347,848562574,20995403,40.4,,,,,
